Country Name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58
Switzerland,3230.0,3180.0,3150.0,3140.0,3220.0,3230.0,3220.0,3230.0,3380.0,3400.0,3560.0,3350.0,3560.0,3600.0,3570.0,3550.0,3560.0,3590.0,4020.0,3980.0,4030.0,4040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,1530.0,1530.0,1530.0,1770.0,1770.0,1770.0,1890.0,1890.0,2020.0,2040.0,1800.0,2140.0,2140.0,2140.0,2140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,483.0,483.0,547.0,483.0,533.0,612.0,617.0,617.0,617.0,617.0,617.0,617.0,617.0,616.0,621.0,621.0,608.0,587.0,597.0,597.0,620.0,620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,4460.0,4580.0,4580.0,4580.0,4580.0,4580.0,4460.0,,2600.0,,,,,,,2710.0,,,,,,2700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,4040.0,4040.0,4040.0,4040.0,4040.0,,,,,,,4430.0,,,4460.0,4460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,1820.0,1820.0,1860.0,2140.0,2150.0,2160.0,1910.0,1910.0,1910.0,1960.0,2220.0,2220.0,1990.0,,2170.0,,1870.0,,2240.0,2240.0,2240.0,2170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,8610.0,8610.0,8610.0,8680.0,8670.0,8670.0,8670.0,8700.0,8700.0,8700.0,8700.0,8700.0,8700.0,9080.0,9590.0,9640.0,9640.0,9720.0,10100.0,10100.0,10100.0,10200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2310.0,2310.0,2390.0,2370.0,2520.0,2520.0,2520.0,2520.0,2530.0,2530.0,3070.0,3180.0,3100.0,3110.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3120.0,3840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,1250.0,1190.0,594.0,261.0,259.0,259.0,259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,22600.0,22500.0,22500.0,22500.0,22300.0,22200.0,22100.0,22100.0,22000.0,22000.0,21900.0,21900.0,21700.0,21700.0,21700.0,21700.0,21600.0,21600.0,21600.0,21000.0,21600.0,21600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,17000.0,16900.0,16500.0,,,16300.0,16300.0,16200.0,15900.0,16200.0,15800.0,15900.0,16500.0,16200.0,16300.0,16300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
